License Type,License Number,Name,Address,Phone,License Expiration Date,Insurance / Bond Expiration Date,License Inactive?,Tags
General Contractor (Class A),TGC04300,"""D"" CONSTRUCTION, INC","1488 SOUTH BROADWAY ROAD, COAL CITY, IL 60416",(815) 634-2555,3/10/2025,06/01/2025,No,General
Electrical Contractor (General),ECC93382,"""E"" MISSIONS ELECTRICAL SYSTEM","7932 S EUCLID AVE, CHICAGO, IL 60617-",(773) 731-0944,6/21/2025,,No,Electrical
Electrical Contractor (General),ECC92504,"""Z"" ELECTRIC","10821 S KENTON AVE, OAK LAWN, IL 60453-",(708) 423-6967,12/15/2021,,Yes,Electrical
General Contractor (Class E),TGC119119,'98 BUILDERS INC,"2622 S KEDVALE, CHICAGO, IL 60623",(312) 409-5627,2/11/2025,01/28/2025,No,General
General Contractor (Class D),TGC065100,"(XRB) CONSTRUCTION SERVICES, LLC.","4933 BUTTERFIELD RD, HILLSIDE, IL 60162-",(312) 656-8984,4/3/2025,04/05/2025,No,General
General Contractor (Class D),TGC131368,1 NAMCA LLC,"1111 N CALIFORNIA AVE, CHICAGO, IL 60622",(773) 377-5000,5/5/2025,04/04/2025,No,General
General Contractor (Class E),TGC121864,1 PRECISE BUILDER INC,"606 HICKORY ST, CHICAGO HEIGHTS, IL 60411",(708) 737-3887,8/30/2024,08/08/2025,Yes,General
General Contractor (Class E),TGC117203,1-800 WATER DAMAGE OF NW SUBURBAN CHICAGO,"731 FAIRFIELD CT, ANN ARBOR, MI 48108",(224) 678-9520,9/25/2022,07/01/2022,Yes,General
General Contractor (Class D),TGC104840,1220 LLC,"211 EAST CIRCLE AVENUE, PROSPECT HEIGHTS, IL 60070",(847) 812-8814,8/27/2025,04/11/2025,No,General
General Contractor (Class E),TGC109400,"123 GC CONSTRUCTION, INC.","6010 N NORTHWEST HIGHWAY, CHICAGO, IL 60631",(773) 225-0712,5/22/2025,05/24/2025,No,General
General Contractor (Class D),TGC015121,"123 REMODELING, INC","5070 N KIMBERLY AVE, UNIT C, CHICAGO, IL 60630-",(773) 685-6095,11/24/2025,02/19/2025,No,General
Electrical Contractor (General),ECC95395,123 VOLTAGE INC.,"3934 N PITTSBURGH AVE, CHICAGO, IL 60634",(773) 732-0666,12/21/2025,,No,Electrical
General Contractor (Class E),TGC132120,1417 E 87TH LLC,"235 FORSTER DRIVE, OSWEGO, IL 60543",(847) 890-2944,6/16/2025,06/09/2025,No,General
General Contractor (Class C),TGC116139,15 NORTH ELIZABETH LLC,"2239 N KIMBALL AVE, CHICAGO, IL 60647",(815) 955-8066,7/14/2022,07/09/2022,Yes,General
General Contractor (Class E),TGC130665,"1550 CARROLL ST, LLC","1550 WEST CARROLL AVE, SUITE 207, CHICAGO, IL 60607",(312) 953-9901,3/22/2025,03/16/2025,No,General
General Contractor (Class D),TGC130348,"16 PENNY, LLC","823 W NEWPORT AVE, #3, CHICAGO, IL 60657-",(773) 851-4400,4/11/2025,04/19/2025,No,General
General Contractor (Class D),TGC124119,1682 PROPERTIES LLC,"7635 W AUTULLO DRIVE, WORTH, IL 60482-",(312) 330-5590,1/19/2024,09/13/2024,Yes,General
General Contractor (Class D),TGC135023,17 COLIN CONSTRUCTION INC,"6N147 COUNTY FARM RD, HANOVER PARK, IL 60133",(630) 401-2310,1/31/2025,10/11/2024,Yes,General
General Contractor (Class E),TGC121399,173 MCCLUNG LLC,"1417 73RD ST, DARIEN, IL 60561",(773) 988-9399,7/16/2024,11/09/2023,Yes,General
General Contractor (Class D),TGC134350,18 BLOCK DEVELOPMENT INC,"1451 W IRVING PARK RD, CHICAGO, IL 60613",(312) 972-7030,12/13/2024,10/24/2024,Yes,General
Mason Contractor (Class B),MC6871,180 CONSTRUCTION,"8915 S. COMMERCIAL, CHICAGO, IL 60617",(708) 381-0487,10/19/2025,,No,Mason
General Contractor (Class E),TGC105819,180 CONSTRUCTION LLC,"4831 W 107TH ST, OAK LAWN, IL 60453",(773) 617-3507,10/26/2025,10/20/2025,No,General
General Contractor (Class E),TGC084641,180 CUSTOM HOMES INC,"398 WEST ARMY TRAIL ROAD, SUITE 124-233, BLOOMINGDALE, IL 60108",(630) 400-4980,1/5/2023,12/28/2022,Yes,General
General Contractor (Class D),TGC126279,"1804 REALTY GROUP, LLC","8108 S WASHTENAW AVE, CHICAGO, IL 60652",(217) 390-9056,5/26/2025,04/07/2025,No,General
General Contractor (Class E),TGC112040,1826 W ERIE LLC,"909 N WINCHESTER AVE, APT 4, CHICAGO, IL 60622",(847) 343-5340,8/30/2025,05/18/2025,No,General
General Contractor (Class C),TGC113760,1847 HUMBOLDT LLC,"2239 NORTH KIMBALL AVENUE, CHICAGO, IL 60647",(815) 955-8066,1/15/2022,01/13/2022,Yes,General
Mason Contractor (Class C),MC7014,1910 CONSTRUCTION CORP,"3310 S HARVEY AVE, BERWYN, IL 60402-",(708) 955-8265,5/1/2025,,No,Mason
General Contractor (Class E),TGC115159,1945 N. 73RD CORP DBA SONIN CONSTRUCTION,"7506 W MADISON, FOREST PARK, IL 60130",(847) 899-0280,4/21/2025,04/02/2025,No,General
General Contractor (Class C),TGC136561,1961 BUILDING SERVICES LLC DBA 1961 BUILD,"1938 W NELSON, CHICAGO, IL 60657",(312) 282-9282,5/15/2025,04/20/2025,No,General
General Contractor (Class E),TGC100565,1977 DEVELOPMENT INC,"9012 SOUTH STONY ISLAND, CHICAGO, IL 60617",(773) 807-0011,1/10/2024,05/23/2024,Yes,General
General Contractor (Class E),TGC108034,1980 REMODELING INC,"5300 SOUTH PAULINA STREET, CHICAGO, IL 60609",(773) 619-6458,3/12/2025,06/12/2025,No,General
Mason Contractor (Class C),MC6730,1R LLC,"3731 WEST WABANSIA AVENUE, CHICAGO, IL 60647",(773) 680-0236,1/29/2025,,No,Mason
General Contractor (Class E),TGC110859,1ST CHICAGOLAND BUILDERS AND RENOVATORS LLC,"2210 NORTH LAPORTE, CHICAGO, IL 60639-",(855) 700-1217,7/26/2023,06/25/2023,Yes,General
General Contractor (Class E),TGC135809,1ST ILLINOIS CONSTRUCTION INC,"9730 S CALUMET, CHICAGO, IL 60628",(708) 312-0106,3/27/2025,07/21/2024,Yes,General
General Contractor (Class D),TGC069999,"1ST IMAGE PROPERTIES, LLC.","3035 LONDON DRIVE, OLYMPIA FIELD, IL 60461",(815) 603-3128,2/21/2022,02/08/2022,Yes,General
General Contractor (Class E),TGC116380,1ST OPTION DRYWALL & CONSTRUCTION LLC,"14415 S HARRISON DRIVE, POSEN, IL 60469-",(708) 913-7667,7/30/2024,06/29/2024,Yes,General
General Contractor (Class E),TGC107303,1ST PREMIER RESTORATION INC,"9748 SOUTH ROBERTS ROAD, SUITE 8-10, PALOS HILLS, IL 60465",(708) 653-8490,1/23/2025,12/18/2024,No,General
General Contractor (Class E),TGC063651,2 BROTHERS HOME IMPROVEMENTS & REMODELING,"5841 S LASALLE, CHICAGO, IL 60621",(773) 955-8366,4/27/2025,03/05/2025,No,General
General Contractor (Class D),TGC118299,2 BY 4 CONSTRUCTION INC,"2303 JOHNSBURG COURT, NAPERVILLE, IL 60564",(312) 504-2200,11/29/2024,09/14/2025,No,General
General Contractor (Class E),TGC030741,2 BY AND ASSOCIATES,"21720 W LONG GROVE ROAD, C412, DEER PARK, IL 60010",(847) 381-0043,11/7/2021,10/04/2021,Yes,General
General Contractor (Class E),TGC137639,2 G EXTERIORS LLC,"2230 POINT BLVD, ELGIN, IL 60123",(630) 470-1441,7/29/2025,02/12/2025,No,General
General Contractor (Class E),TGC052554,"2 ME, INC","6250 N AVERS AVE, CHICAGO, IL 60659-",(773) 739-9020,8/16/2025,12/05/2024,No,General
Electrical Contractor (General),ECC95893,2 SONS ELECTRIC LLC,"10049 DRURY LN, WESTCHESTER, IL 60154-",(708) 369-4633,12/7/2024,,No,Electrical
Plumbing Contractor,SBC198135,20/20 PLUMBING INC,"9325 OSCEOLA AVE, MORTON GROVE, IL 60053-",(773) 988-7602,5/5/2025,03/25/2025,No,Plumbing
General Contractor (Class D),TGC124760,203K-KINGS LLC,"1033 SOUTH BOULEVARD AVE, OAK PARK, IL 60302-",(708) 676-7244,2/23/2025,02/16/2025,No,General
Mason Contractor (Class B),MC6899,21 CENTURY MASONRY RESTORATION,"5015 W FOSTER AVE, CHICAGO, IL 60630",(773) 243-9681,6/22/2025,,No,Mason
General Contractor (Class D),TGC033965,"21ST CENTURY FLOORING, LLC. DBA LUNA FLOORING","333 NORTHWEST AVE, NORTHLAKE, IL 60164",(847) 583-3000,3/16/2025,04/15/2025,No,General
General Contractor (Class E),TGC104882,21ST CENTURY.COM CONSTRUCTION INC,"3913 WEST 55TH STREET, CHICAGO, IL 60632",(312) 593-7648,8/28/2024,08/16/2024,Yes,General
Electrical Contractor (Low Voltage),ECC93663,22 TONES,"24700 W CAINE ROAD, INGLESIDE, IL 60041-",(224) 643-7940,6/5/2025,,No,Electrical
Electrical Contractor (General),ECC96029,221 ELECTRIC DBA ADULT ACADEMY,"4036 W 107TH STREET, OAK LAWN, IL 60453-",(312) 375-3775,10/22/2025,,No,Electrical
General Contractor (Class C),TGC126039,2228 KEDZIE LLC,"2239 N KIMBALL AVE, CHICAGO, IL 60647",(708) 557-2323,5/17/2024,05/17/2023,Yes,General
General Contractor (Class E),TGC137860,24 HEATING AND COOLING INC,"9008 S OKETO AVE, BRIDGEVIEW, IL 60455",(708) 229-2253,8/14/2025,03/28/2025,No,General
General Contractor (Class E),TGC117467,24/7 CONSTRUCTION CORP,"5720 S SPAULDING AVE, CHICAGO, IL 60629",(773) 704-6043,10/15/2022,05/27/2023,Yes,General
Plumbing Contractor,BC186627,"24/7 PLUMBING & SEWER, LLC","3336 S LOMBARD, BERWYN, IL 60402",(708) 699-2407,4/12/2024,04/29/2023,Yes,Plumbing
General Contractor (Class E),TGC127444,24/7 SECURE BOARD UP AND RESTORATION LLC,"16525 W 159TH ST, #188, LOCKPORT, IL 60441",(800) 214-2399,8/1/2025,04/29/2025,No,General
General Contractor (Class E),TGC137759,24/7 SERVICE TEAM LLC,"3839 EAST AVE, BERWYN, IL 60402",(312) 597-9907,8/5/2025,04/25/2025,No,General
General Contractor (Class E),TGC136002,247 AFTERMATH RESTORATION MGMT INC,"425 MANNHEIM RD, BELLWOOD, IL 60104",(708) 603-7046,4/11/2025,02/09/2025,No,General
General Contractor (Class E),TGC079740,2805 EASTWOOD LLC,"1757 W ROSCOE, CHICAGO, IL 60657",(773) 507-9535,5/20/2022,04/26/2022,Yes,General
General Contractor (Class B),TGC073239,"2CG, INC","21200 S LAGRANGE ROAD, UNIT 356, FRANKFORT, IL 60423",(630) 634-8050,7/18/2025,06/10/2025,No,General
General Contractor (Class E),TGC119361,2IN1 CONCRETE LLC,"3735 W 70TH STREET, CHICAGO, IL 60629",(331) 295-2178,3/1/2025,10/15/2025,No,General
General Contractor (Class E),TGC131621,"2MB DESIGN STUDIO, INC","9601 RIVER ST, SCHILLER PARK, IL 60176",(847) 630-8006,5/22/2024,06/22/2025,Yes,General
General Contractor (Class E),TGC079802,2ND CITY CRAFTSMEN & CONSTRUCTION LLC,"4201 N CENTRAL PARK AVE #2, CHICAGO, IL 60618",(224) 592-0689,5/21/2022,04/21/2022,Yes,General
General Contractor (Class E),TGC130361,2ND CITY DEVELOPERS LLC,"92 N CAROLINE STREET, CRYSTAL LAKE, IL 60014",(847) 857-8574,2/24/2025,02/02/2025,No,General
General Contractor (Class E),TGC077719,"2ND CITY HOMES, INC.","PO BOX 5711, ELGIN, IL 60121",(847) 495-2433,2/18/2025,11/11/2024,No,General
General Contractor (Class D),TGC114961,"2NDCITI CONSTRUCTION, INC","905 BERKSHIRE DR, MATTESON, IL 60443",(773) 592-2000,2/22/2025,07/31/2024,Yes,General
General Contractor (Class E),TGC121543,"2PK DESIGNS, LLC","356 PARK AVE, GLENCOE, IL 60022",(773) 987-6605,7/30/2025,02/22/2025,No,General
General Contractor (Class D),TGC119144,2RD ENTERPRISES INCORPORATED,"13031 WESTERN AVE, SUITE 1A, BLUE ISLAND, IL 60406",(708) 385-5861,2/17/2025,02/04/2025,No,General
General Contractor (Class E),TGC136859,3 A GENERAL CONTRACTOR INC,"5136 S MILLARD AVE, CHICAGO, IL 60632",(312) 572-0040,6/5/2025,02/20/2025,No,General
General Contractor (Class E),TGC130179,3 BROTHERS GUTTERS & CONST INC,"559 MUSKEGON AVE, CALUMET CITY, IL 60409",(708) 601-3451,2/9/2025,05/05/2025,No,General
General Contractor (Class E),TGC131248,3 BROTHERS LANDSCAPING & SNOW SERVICES LLC,"306 E 87TH ST, CHICAGO, IL 60619",(773) 717-0139,4/27/2025,11/02/2024,No,General
General Contractor (Class D),TGC115644,3 BROTHERS REMODELING LLC,"4520 MAPLE AVE APT 1S, BROOKFIELD, IL 60513",(773) 526-0255,6/12/2025,03/01/2025,No,General
General Contractor (Class D),TGC135683,3 DAUGHTERS & A VISION DEVELOPMENT LLC,"1 WESTBROOK CORPORATE CENTER , SUITE 300-731, WESTCHESTER, IL 60154",(855) 638-4746,3/15/2025,05/19/2024,Yes,General
Electrical Contractor (General),ECC93216,3 G ELECTRIC,"6110 N OTTAWA, CHICAGO, IL 60631-",(773) 410-1449,7/10/2025,,No,Electrical
Electrical Contractor (General),ECC75452,3 J'S ELECTRIC INC.,"16100 BORMET DRIVE, TINLEY PARK, IL 60477-",(708) 567-3718,3/31/2025,,No,Electrical
General Contractor (Class E),TGC086560,3 MEN CONSTRUCTION CORP,"1215 NORTH HARDING AVENUE, CHICAGO, IL 60651-",(773) 565-8477,3/17/2025,03/26/2025,No,General
